,Opportunity,School_Name,Short,Enrolled,OE,FFT,DrugAlcohol,EMHealth,EarlyCollege,GenHealth,GradeLevels,LearningStyles,NutritionExercise,PBL,STEM,Safety,School Level,StudentMotiv,StudentVoice,Survey Start Date,Survey Window,Retrieved,isMinn,Roster,CombineSection
0,High Tech High,The Gary and Jerri-Ann Jacobs High Tech High,HTH,600,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,9;10;11;12,FALSE,FALSE,FALSE,FALSE,FALSE,High School,TRUE,FALSE,1/4/2016,Custom,2015-12-23_1147,0,TBD,1
1,High Tech High,High Tech High Chula Vista,HTHCV,639,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,9;10;11;12,FALSE,FALSE,FALSE,FALSE,FALSE,High School,TRUE,FALSE,1/4/2016,Custom,2015-12-23_1147,0,TBD,1
2,High Tech High,High Tech High Media Arts,HTHMA,400,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,9;10;11;12,FALSE,FALSE,FALSE,FALSE,FALSE,High School,TRUE,FALSE,1/4/2016,Custom,2015-12-23_1147,0,TBD,1
3,High Tech High,High Tech High North County,HTHNC,484,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,9;10;11;12,FALSE,FALSE,FALSE,FALSE,FALSE,High School,TRUE,FALSE,1/4/2016,Custom,2015-12-23_1147,0,TBD,1
4,North Carolina New Schools,Northeast Academy of Aerospace and  Advanced Technologies,NEAAT,123,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8;9,FALSE,FALSE,FALSE,TRUE,FALSE,High School,FALSE,FALSE,1/18/2016,January,2015-12-23_1147,0,TBD,1
5,Penn-Delco School District,Northley Middle School,NMS,794,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6;7;8,FALSE,FALSE,FALSE,FALSE,TRUE,Middle School,TRUE,FALSE,1/18/2016,January,2015-12-23_1147,0,TBD,1
6,Hannah Test Opportunity 2,Hannah Test Org 1,HTO1,555,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,9;10;11;12,TRUE,TRUE,TRUE,TRUE,TRUE,High School,TRUE,TRUE,1/18/2016,January,2015-12-23_1147,1,testingroster.csv,1
7,Hannah Test Opportunity 2,Hannah Test Org 2,HTO2,555,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,7;8,TRUE,TRUE,TRUE,TRUE,TRUE,Middle School,TRUE,TRUE,1/18/2016,January,2015-12-23_1147,0,TBD,1
8,Hannah Test Opportunity 2,Hannah Test Org 3,HTO3,555,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,3;4,TRUE,TRUE,TRUE,TRUE,TRUE,Elementary School,TRUE,TRUE,1/18/2016,January,2015-12-23_1147,0,TBD,1
7,North Carolina New Schools,STEM Early College at NC A & T,STEM NC A&T,190,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,9;10;11;12,FALSE,FALSE,FALSE,TRUE,FALSE,High School,FALSE,FALSE,1/18/2016,January,2015-12-23_1147,0,TBD,1
8,Boys & Girls Clubs of the Peninsula,Menlo Park Clubhouse - Elementary,MP ES,52,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4;5,FALSE,FALSE,FALSE,FALSE,FALSE,Elementary School,TRUE,FALSE,1/18/2016,January,2015-12-23_1147,0,TBD,1
9,Boys & Girls Clubs of the Peninsula,Belle Haven Elementary School - Elementary,BH ES,30,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4;5,FALSE,FALSE,FALSE,FALSE,FALSE,Elementary School,TRUE,FALSE,1/18/2016,January,2015-12-23_1147,0,TBD,1
10,Boys & Girls Clubs of the Peninsula,Taft Elementary School,Taft,117,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4;5;6;7,FALSE,FALSE,FALSE,FALSE,FALSE,Elementary School,TRUE,FALSE,1/18/2016,January,2015-12-23_1147,0,TBD,1
11,Boys & Girls Clubs of the Peninsula,East Palo Alto Clubhouse - Middle School,EPA MS,66,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6;7;8,FALSE,TRUE,FALSE,TRUE,TRUE,Middle School,TRUE,FALSE,1/18/2016,January,2015-12-23_1147,0,TBD,1
12,Boys & Girls Clubs of the Peninsula,Hoover Community School,Hoover,109,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6;7;8,FALSE,TRUE,FALSE,TRUE,TRUE,Middle School,TRUE,FALSE,1/18/2016,January,2015-12-23_1147,0,TBD,1
13,Boys & Girls Clubs of the Peninsula,Garfield Elementary School - Middle School,Garfield MS,45,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6;7;8,FALSE,TRUE,FALSE,TRUE,TRUE,Middle School,TRUE,FALSE,1/18/2016,January,2015-12-23_1147,0,TBD,1
14,Boys & Girls Clubs of the Peninsula,East Palo Alto Clubhouse - High School,EPA HS,108,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9;10;11;12,FALSE,TRUE,FALSE,TRUE,TRUE,High School,TRUE,FALSE,1/18/2016,January,2015-12-23_1147,0,TBD,1
15,Boys & Girls Clubs of the Peninsula,Redwood City Clubhouse - High School,RC HS,160,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9;10;11;12,FALSE,TRUE,FALSE,TRUE,TRUE,High School,TRUE,FALSE,1/18/2016,January,2015-12-23_1147,0,TBD,1
16,Boys & Girls Clubs of the Peninsula,Redwood City Clubhouse - Elementary,RC ES,82,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4;5,FALSE,FALSE,FALSE,FALSE,FALSE,Elementary School,TRUE,FALSE,1/18/2016,January,2015-12-23_1147,0,TBD,1
17,Boys & Girls Clubs of the Peninsula,Menlo Park Clubhouse - HighSchool,MP HS,94,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9;10;11;12,FALSE,TRUE,FALSE,TRUE,TRUE,Middle School,TRUE,FALSE,1/18/2016,January,2015-12-23_1147,0,TBD,1
18,Boys & Girls Clubs of the Peninsula,East Palo Alto Clubhouse - Elementary,EPA ES,75,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4;5,FALSE,FALSE,FALSE,FALSE,FALSE,Elementary School,TRUE,FALSE,1/18/2016,January,2015-12-23_1147,0,TBD,1
19,Boys & Girls Clubs of the Peninsula,Garfield Elementary School - Elementary,Garfield ES,39,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4;5,FALSE,FALSE,FALSE,FALSE,FALSE,Elementary School,TRUE,FALSE,1/18/2016,January,2015-12-23_1147,0,TBD,1
20,Boys & Girls Clubs of the Peninsula,Brentwood Academy,BW,65,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4;5,FALSE,FALSE,FALSE,FALSE,FALSE,Elementary School,TRUE,FALSE,1/18/2016,January,2015-12-23_1147,0,TBD,1
21,Boys & Girls Clubs of the Peninsula,Belle Haven Elementary School - Middle School,BH MS,46,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6;7;8,FALSE,TRUE,FALSE,TRUE,TRUE,Middle School,TRUE,FALSE,1/18/2016,January,2015-12-23_1147,0,TBD,1
22,North Carolina New Schools,Wake STEM Early College High School,Wake STEM,285,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,9;10;11;12,FALSE,FALSE,FALSE,TRUE,FALSE,High School,FALSE,FALSE,1/18/2016,January,2015-12-23_1147,0,TBD,1
23,North Carolina New Schools,Charlotte Engineering Early College - UNCC,CEEC,190,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,9;10,FALSE,FALSE,FALSE,TRUE,FALSE,High School,FALSE,FALSE,1/18/2016,January,2015-12-23_1147,0,TBD,1
24,Kingsland Public Schools,Kingsland High School,KHS,249,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7;8;9;10;11;12,FALSE,FALSE,FALSE,FALSE,FALSE,High School,FALSE,FALSE,1/18/2016,January,2015-12-23_1147,1,Kingsland_Secondary.csv,1
25,Kingsland Public Schools,Kingsland Elementary,KES,200,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3;4;5;6,FALSE,FALSE,FALSE,FALSE,FALSE,Elementary School,FALSE,FALSE,1/18/2016,January,2015-12-23_1147,1,Kingsland_Elementary.csv,0
26,Boys & Girls Clubs of the Peninsula,Menlo Park Clubhouse - Middle School,MP MS,61,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6;7;8,FALSE,TRUE,FALSE,TRUE,TRUE,Middle School,TRUE,FALSE,1/18/2016,January,2015-12-23_1147,0,TBD,1
